location_type, parent_station, stop_id, stop_code, stop_name, stop_desc, stop_lat, stop_lon, zone_id, supported_modes
0,,17862,17862,Shenton Av After Naturaliste Bvd,,-31.74380133,115.7334113,4,Bus
0,,17863,17863,Shenton Av After Constellation Dr,,-31.74366836,115.7334409,4,Bus
0,,17864,17864,Shenton Av After Delamere Av,Shenton Av / Delamere Av,-31.74239437,115.7426705,4,Bus
0,,17865,17865,Shenton Av After Connolly Dr,,-31.74209206,115.7484342,3,Bus
0,,17866,17866,Shenton Av After Newmarket Rtt,,-31.74047689,115.7545968,3,Bus
0,,17867,17867,Shenton Av After Mitchell Fwy,,-31.739049,115.7596416,3,Bus
0,,17868,17868,Shenton Av After Joondalup Dr,,-31.73934793,115.765756,3,Bus
0,,17869,17869,Shenton Av After Mclarty Av,,-31.73984227,115.768292,3,Bus
0,,17870,17870,Boas Av After Lakeside Dr,,-31.74316398,115.7729325,3,Bus
0,,17871,17871,Boas Av Before Lakeside Dr,,-31.74306373,115.7733539,3,Bus
0,,17873,17873,Moore Dr After Candlewood Bvd,,-31.73258521,115.7596038,4,Bus
0,,17876,17876,Moore Dr After Christchurch Tce,,-31.7346673,115.7501884,4,Bus
0,,17877,17877,Moore Dr After Connolly Dr,,-31.73511081,115.7438445,4,Bus
0,,17878,17878,Moore Dr After Providence Dr,,-31.73459013,115.7406633,4,Bus
0,,17879,17879,Moore Dr After Caledonia Av,,-31.73433684,115.7406344,4,Bus
0,,17880,17880,Moore Dr Before Connolly Dr,,-31.73489176,115.7438111,4,Bus
0,,17881,17881,Moore Dr Currambine Primary School,,-31.734412,115.7506208,4,Bus
0,,17884,17884,Moore Dr After Blue Mountain Dr,,-31.7323054,115.7599447,4,Bus
0,,17885,17885,Moore Dr After Joondalup Dr,,-31.73346833,115.7646494,4,Bus
0,,17886,17886,Moore Dr After Candlewood Bvd,,-31.73320026,115.7646689,4,Bus
0,,17892,17892,Connolly Dr After Burns Beach Rd,,-31.72306271,115.7418022,4,Bus
0,,17893,17893,Connolly Dr After Kinross Dr,,-31.72039632,115.7408158,4,Bus
0,,17894,17894,Connolly Dr After Geoff Russell Av,,-31.71427867,115.7373427,4,Bus
0,,17896,17896,Connolly Dr After Brooks Pass,Hester Av / Connolly Dr,-31.67453214,115.7223736,4,Bus
0,,17899,17899,Connolly Dr After Hester Ave,Hester Av / Connolly Dr,-31.67455635,115.7227055,4,Bus
0,,17902,17902,Walyunga Bvd After Connolly Dr,,-31.67625659,115.725288,4,Bus
0,128,17905,17905,Walyunga Bvd Clarkson High Sch Stand 4,Clarkson Community High Sch,-31.67638375,115.7253482,4,Bus
0,128,17906,17906,Walyunga Bvd Clarkson High Sch Stand 3,Clarkson Community High Sch,-31.67648179,115.7251832,4,Bus
0,128,17907,17907,Walyunga Bvd Clarkson High Sch Stand 2,Clarkson Community High Sch,-31.67657348,115.7250145,4,Bus
0,128,17908,17908,Walyunga Bvd Clarkson High Sch Stand 1,Clarkson Community High Sch,-31.67665493,115.7248462,4,Bus
