SSC_CODE_2016,Suburb,Suburb (Original),Postcode,Suburb sqkm,Median Age (Persons),Median Mortgage Repayments (Monthly),Median Total Personal Income (Weekly),Median Rent (Weekly),Median Total Family Income (Weekly),Average Number of Persons per Bedroom,Median Total Household Income (Weekly),Average Household Size,People (0-14 year),People (15-24 year),People (25-34 year),People (35-44 year),People (45-54 year),People (55-64 year),People (65-74 year),People (75-84 year),People (85 and over year),Total Number of People,Unemployment Rate (%)
SSC50054,Baldivis,Baldivis,6171,87.3148,29,2167,842,385,2068,0.8,1928,2.9,8535,4074,5863,4470,3353,2081,1426,556,114,30472,7.9
SSC50055,Balga,Balga,6061,5.2448,31,1714,561,340,1264,0.8,1147,2.5,2409,1718,2969,1660,1275,1039,817,458,92,12437,12
SSC50056,Balingup,Balingup,6253,88.5608,57,1200,519,210,1171,0.7,941,2.1,63,28,45,44,63,133,120,34,9,539,6.8
SSC50057,Balkuling,Balkuling,6383,82.2641,26,0,366,0,725,0.7,725,4,10,3,8,0,3,3,3,0,0,30,42.9
SSC50058,Balla Balla,Balla Balla,6714,138.7115,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,3,0,23,0
SSC50059,Balladong,Balladong,6302,50.6002,52,2383,597,216,1224,0.6,1075,2.6,11,4,9,15,9,14,7,3,0,72,7.5
SSC50060,Balladonia,Balladonia,6443,15271.8027,32,0,0,0,0,0,0,0,0,0,9,0,3,14,19,5,0,50,0
SSC50061,Ballajura,Ballajura,6066,8.8563,35,1780,626,375,1701,0.8,1588,3,3726,3017,2373,2220,2993,2320,1091,516,154,18410,9
SSC50062,Ballaying,Ballaying,6315,166.7628,33,0,850,0,1374,0.8,1374,2,10,0,7,0,3,3,8,0,0,31,0
SSC50063,Ballidu,Ballidu,6606,8.5085,53,510,428,125,1062,0.7,695,1.6,4,6,3,9,15,13,17,4,0,71,21.2
SSC50064,Bally Bally,Bally Bally,6304,182.4321,55,1500,487,0,1291,0.9,1125,2.3,9,0,0,9,4,11,5,0,0,38,0
SSC50065,Bambun,Bambun,6503,61.0008,43,0,575,0,1375,0.9,1124,2.5,9,9,10,3,7,10,3,3,0,54,0
SSC50066,Bandy Creek,Bandy Creek,6450,34.8912,39,2076,876,285,2146,0.7,1946,2.6,67,34,38,44,38,37,30,9,0,297,1.8
SSC50067,Bandya,Bandya,6440,7061.1818,32,0,1853,105,687,2,1125,6,25,27,128,75,71,20,0,3,0,349,17.8
SSC50068,Banjup,Banjup,6164,22.4676,34,2340,867,440,2243,0.7,2250,3,375,302,361,263,272,235,141,42,15,2006,6
