SSC_CODE_2016,Suburb,Suburb (Original),Postcode,Suburb sqkm,Median Age (Persons),Median Mortgage Repayments (Monthly),Median Total Personal Income (Weekly),Median Rent (Weekly),Median Total Family Income (Weekly),Average Number of Persons per Bedroom,Median Total Household Income (Weekly),Average Household Size,People (0-14 year),People (15-24 year),People (25-34 year),People (35-44 year),People (45-54 year),People (55-64 year),People (65-74 year),People (75-84 year),People (85 and over year),Total Number of People,Unemployment Rate (%)
SSC50369,Daggar Hills,Daggar Hills,6638,5283.371,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,8,0
SSC50370,Daglish,Daglish,6008,0.6345,39,2500,876,320,2444,0.9,1710,2.3,245,192,180,183,214,176,134,66,16,1406,7.8
SSC50371,Dale,Dale,6304,382.8639,50,1950,821,125,1875,0.8,1781,2.6,35,3,7,31,39,30,36,12,3,196,2.7
SSC50372,Daliak,Daliak,6302,43.9542,57,0,624,0,1562,0.6,1333,1.7,9,3,3,7,12,14,17,0,8,73,0
SSC50373,Dalkeith,Dalkeith,6009,3.0059,43,4333,1201,800,4163,0.8,3817,3.1,901,669,232,428,647,526,459,210,74,4146,4.7
SSC50374,Dalwallinu,Dalwallinu,6609,698.2424,35,1000,833,200,1949,0.7,1560,2.4,151,89,143,111,86,112,75,40,18,825,4.4
SSC50375,Dalyellup,Dalyellup,6230,16.3306,31,1950,764,370,2032,0.8,1859,3,2452,1259,1144,1386,1250,612,433,148,21,8705,7.6
SSC50376,Dalyup,Dalyup,6450,735.7369,32,1098,850,0,1474,1.1,1399,2.8,45,15,19,25,23,19,3,3,0,152,0
SSC50377,Dampier,Dampier,6713,9.8213,35,3200,1525,420,3507,0.9,3284,3,326,82,143,219,233,99,55,17,5,1179,6.1
SSC50378,Dampier Archipelago,Dampier Archipelago,6713,185.9507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50379,Dampier Peninsula,Dampier Peninsula,6725,4756.773,25,0,346,90,783,1.2,821,3.1,430,183,192,171,169,190,99,24,5,1463,15.9
SSC50380,Dandanning,Dandanning,6479,206.1471,28,0,850,0,2124,1,1499,0,3,0,3,0,0,3,0,3,0,12,0
SSC50381,Dandaragan,Dandaragan,6507,974.5228,49,1300,747,148,1765,0.7,1490,2.3,50,30,32,51,39,64,48,22,5,341,1.5
SSC50382,Dangin,Dangin,6383,75.4106,46,0,675,0,1149,0.8,1624,2.7,11,0,3,4,10,3,6,0,0,37,0
SSC50383,Darch,Darch,6065,3.1384,33,2116,738,470,2178,0.8,2124,3.4,1865,1043,816,1294,1013,480,296,150,17,6974,7.4
SSC50384,Dardadine,Dardadine,6392,70.0581,51,0,537,0,1874,0.9,1625,3,0,9,3,0,3,3,4,0,0,22,0
SSC50385,Dardanup,Dardanup,6236,6.9742,42,1993,625,300,1721,0.7,1447,2.5,109,53,61,55,78,57,49,25,13,500,7
SSC50386,Dardanup West,Dardanup West,6236,18.2458,45,1993,669,200,2029,0.7,1853,2.8,123,88,38,70,132,106,49,30,0,636,6
SSC50387,Darkan,Darkan,6392,668.7005,45,893,711,140,1365,0.7,1179,2.2,90,23,43,40,61,63,38,24,10,392,5.9
SSC50388,Darling Downs,Darling Downs,6122,9.817,41,2153,674,288,2102,0.8,2094,3.1,216,181,102,148,202,173,113,34,9,1178,5.9
SSC50389,Darlington,Darlington (WA),6070,12.0621,44,2167,765,435,2244,0.8,1988,2.8,758,389,232,460,583,501,434,162,38,3557,4.6
SSC50390,Darradup,Darradup,6275,321.5895,62,1517,725,0,1312,0.8,1062,1.6,0,0,0,0,8,5,10,0,0,23,0
SSC50391,Dartmoor,Dartmoor (WA),6532,557.8974,34,0,774,0,0,1.6,0,3,3,0,3,4,0,0,3,0,0,13,0
SSC50392,Dartnall,Dartnall,6320,156.1987,42,0,900,0,2124,0.5,1875,2,5,0,7,0,9,8,3,3,0,35,0
SSC50393,Datatine,Datatine,6317,176.5319,52,0,774,0,1437,0.6,1437,2,5,0,4,3,4,3,3,0,0,22,0
SSC50394,Davenport,Davenport (WA),6230,11.7042,57,0,1125,0,2374,1,2625,2,0,0,0,0,3,5,0,0,0,8,0
SSC50395,Dawesville,Dawesville,6211,12.7714,42,2000,580,350,1602,0.7,1376,2.6,1246,529,584,720,692,668,744,255,32,5470,10.3
SSC50396,Dayton,Dayton,6055,3.1716,29,2200,937,375,1969,0.8,1903,2.8,675,343,841,466,226,123,69,15,4,2762,5.5
SSC50397,De Grey,De Grey,6722,3134.2597,31,0,900,0,1649,1.5,725,2.6,12,6,16,7,3,28,28,4,0,104,0
SSC50398,Deanmill,Deanmill,6258,30.8448,41,1625,591,160,1512,0.7,1132,2.5,77,31,40,31,59,59,20,7,0,324,9.8
SSC50399,Deepdale,Deepdale,6532,6.8961,34,2167,748,300,2229,0.9,2062,3,186,138,95,108,131,92,41,14,3,808,5.2
SSC50400,Deepdene,Deepdene (WA),6290,38.9076,54,2799,558,235,1312,0.8,1062,2.5,10,3,7,7,6,10,12,0,0,55,10.7
SSC50401,Denbarker,Denbarker,6324,201.0548,40,1672,612,135,1458,0.7,1208,2.6,13,11,8,5,15,7,4,4,3,70,6.4
SSC50402,Denham,Denham,6537,1129.7211,45,1440,597,193,1266,0.8,917,2.1,164,62,144,160,164,316,459,151,40,1660,5.9
SSC50403,Denmark,Denmark,6333,11.6998,46,1517,493,270,1182,0.7,847,2.2,479,304,192,297,336,347,367,212,80,2614,4.6
SSC50404,Derby,Derby (WA),6728,467.2825,34,1733,722,150,1829,0.9,1586,2.6,829,414,599,557,560,624,413,100,25,4121,8.4
SSC50405,Devils Creek,Devils Creek,6630,261.4675,32,0,1093,160,2749,0,2124,1.5,7,0,4,7,3,3,3,0,0,27,0
SSC50406,Dewars Pool,Dewars Pool,6567,85.6398,60,0,430,0,1292,0.7,1312,2.4,0,5,7,3,7,10,10,0,0,42,0
SSC50407,Diamond Tree,Diamond Tree,6258,40.3152,54,0,833,0,1749,0.7,1812,2.5,3,0,3,0,7,6,0,0,0,19,0
SSC50408,Dianella,Dianella,6059,10.7402,41,2000,681,350,1878,0.7,1477,2.5,3739,2816,3072,3036,3176,2727,2137,1680,644,23027,7.2
SSC50409,Dindiloa,Dindiloa,6532,84.4948,46,0,274,0,749,0,749,0,3,0,0,0,8,0,4,0,0,15,27.3
SSC50410,Dingup,Dingup,6258,94.7306,47,1667,714,250,2250,0.8,1981,2.8,37,29,12,21,40,30,17,7,0,193,0
SSC50411,Dinninup,Dinninup,6244,347.6676,43,1630,575,113,1375,0.9,1292,2.3,27,5,14,18,21,17,15,0,0,117,4.8
SSC50412,Dirk Hartog Island,Dirk Hartog Island,6537,629.3927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50413,Dixvale,Dixvale,6258,21.3001,43,1269,833,0,1937,0.9,1812,2.8,16,4,0,7,6,9,5,0,0,47,0
SSC50414,Djugun,Djugun,6725,9.3775,33,2800,1161,306,2515,0.8,2335,2.8,733,241,562,548,341,282,114,29,5,2855,3.9
SSC50415,Dongara,Dongara,6525,8.4489,48,1800,515,230,1297,0.7,1019,2.3,244,113,114,168,182,225,221,103,23,1393,8.2
SSC50416,Dongolocking,Dongolocking,6315,280.2096,44,0,617,0,1375,0.5,1208,2,5,0,6,5,7,7,0,0,0,30,0
SSC50417,Donnelly River,Donnelly River,6258,85.0994,52,0,724,0,0,0,0,0,3,0,3,3,4,3,0,0,0,16,0
SSC50418,Donnybrook,Donnybrook (WA),6239,24.5821,43,1517,550,250,1365,0.7,1089,2.4,562,243,296,316,301,357,321,192,69,2657,7.7
SSC50419,Doodenanning,Doodenanning,6383,125.7685,56,842,474,0,1124,0.6,900,1.7,5,3,0,0,5,11,3,4,0,31,0
SSC50420,Doodlakine,Doodlakine,6411,247.1018,52,1096,766,0,1999,0.7,1437,2,12,3,9,3,9,18,12,3,0,69,0
SSC50421,Dorre Island,Dorre Island,6701,49.9685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50422,Doubleview,Doubleview,6018,2.5994,35,2326,955,390,2526,0.8,2014,2.5,1546,878,1514,1290,1115,879,468,319,156,8165,5.9
SSC50423,Dowerin,Dowerin,6461,291.9366,44,867,617,140,1426,0.7,1093,2.3,103,31,38,54,54,68,64,24,7,443,4.5
SSC50424,Drome,Drome,6330,49.7289,49,0,575,0,1333,0.9,1292,3,8,7,8,3,12,4,5,0,0,47,0
SSC50425,Drummond Cove,Drummond Cove,6532,1.5246,34,2059,849,330,2092,0.7,1880,2.7,378,164,209,222,189,129,91,26,10,1418,6.2
SSC50426,Dryandra,Dryandra,6311,57.9081,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0
SSC50427,Drysdale River,Drysdale River,6740,19442.6137,43,0,1187,0,0,0.7,1375,1,17,3,27,21,16,26,28,6,0,144,0
SSC50428,Dudawa,Dudawa,6519,357.5302,20,0,1437,0,2750,1,2625,4.5,12,0,3,9,0,0,0,0,0,24,0
SSC50429,Dudinin,Dudinin,6363,396.321,43,758,712,0,1312,0.6,1093,2.7,22,0,7,14,15,9,10,0,0,77,0
SSC50430,Dudley Park,Dudley Park (WA),6210,7.1162,52,1723,547,320,1368,0.6,1099,2.2,835,617,546,569,716,867,959,623,265,5997,10
SSC50431,Dukin,Dukin,6475,205.4548,40,0,833,0,1375,0.7,1125,1.7,12,0,3,4,0,8,9,0,0,36,0
SSC50432,Dulbelling,Dulbelling,6383,167.324,47,1603,749,0,1625,0.8,1562,2.5,4,6,0,13,16,10,6,0,0,55,0
SSC50433,Dulyalbin,Dulyalbin,6425,333.0896,55,0,933,0,3249,0.6,3249,1.7,3,0,0,4,4,8,0,5,0,24,0
SSC50434,Dumbarton,Dumbarton,6566,71.6731,53,1200,679,283,1825,0.8,1624,2.6,24,22,15,16,36,40,41,13,3,210,7.1
SSC50435,Dumberning,Dumberning,6312,131.943,44,1384,554,250,1625,0.7,1812,2.5,24,104,12,12,38,28,11,6,3,238,3.8
SSC50436,Dumbleyung,Dumbleyung,6350,255.2355,49,500,565,110,1137,0.6,931,2,33,9,41,28,23,51,34,26,0,245,12.2
SSC50437,Duncraig,Duncraig,6023,7.5232,41,2167,819,450,2389,0.7,2142,2.8,3254,1721,1245,2129,2122,1947,1607,622,327,14974,5.9
SSC50438,Dundas,Dundas (WA),6443,983.8412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0
SSC50439,Dunn Rock,Dunn Rock,6355,566.1675,59,0,1166,0,0,0,2999,0,0,0,3,0,3,7,3,0,0,16,0
SSC50440,Dunsborough,Dunsborough,6281,16.0865,37,2000,790,410,1858,0.7,1649,2.7,1272,359,677,892,576,482,478,189,51,4976,4.2
SSC50441,Durack,Durack (WA),6743,29223.2319,29,0,676,75,1208,1.1,974,2.4,64,61,73,66,79,120,121,20,5,609,3.8
SSC50442,Duranillin,Duranillin,6393,172.7848,48,0,574,60,900,0.7,784,2,17,0,3,10,7,15,8,0,0,60,0
SSC50443,Durawah,Durawah,6532,140.943,35,0,1625,0,0,0,0,0,8,0,0,4,3,0,0,0,0,15,0
SSC50444,Dwarda,Dwarda,6308,117.5354,55,0,724,0,2374,0.6,1875,2,3,0,0,3,3,3,0,0,0,12,0
SSC50445,Dwellingup,Dwellingup,6213,27.012,46,1600,544,280,1613,0.8,1403,2.4,110,68,50,65,105,81,67,26,7,579,8.4
SSC50446,Eagle Bay,Eagle Bay,6281,1.6554,64,2400,949,253,1875,0.5,1625,2.1,8,3,13,9,7,8,26,8,0,82,0
SSC50447,East Augusta,East Augusta,6290,3.842,53,769,450,0,1125,0.8,762,2,3,0,0,0,7,6,6,3,0,25,30
SSC50448,East Ballidu,East Ballidu,6606,429.4812,42,0,825,0,1583,0.8,1542,3.1,7,5,5,4,6,6,3,4,0,40,0
SSC50449,East Beverley,East Beverley,6304,254.6592,48,1310,860,0,2374,0.8,1375,2.3,17,8,10,7,14,11,12,11,0,90,0
SSC50450,East Bowes,East Bowes,6535,165.1163,51,0,537,250,1624,0.8,1375,2.7,6,5,3,7,11,8,9,5,0,54,0
SSC50451,East Bunbury,East Bunbury,6230,3.5558,46,1547,582,300,1373,0.7,1060,2.2,596,389,485,390,449,540,451,309,119,3728,9.1
SSC50452,East Cannington,East Cannington,6107,2.8677,31,1900,640,380,1575,0.8,1491,2.9,1071,786,1301,758,563,437,269,121,30,5336,10.1
SSC50453,East Carnarvon,East Carnarvon,6701,4.1277,38,1529,721,250,1820,0.8,1407,2.6,229,78,104,126,134,149,204,94,19,1137,5.6
SSC50454,East Chapman,East Chapman,6532,78.214,37,0,583,119,1416,0.8,900,2.1,9,4,3,4,9,5,5,0,0,39,13.6
SSC50455,East Damboring,East Damboring,6608,103.4926,56,0,575,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6,0
SSC50456,East Fremantle,East Fremantle,6158,3.1384,43,2500,938,400,2780,0.8,2051,2.5,1331,846,701,932,1204,1011,638,378,168,7209,5.6
SSC50457,East Lyons River,East Lyons River,6705,11028.6891,61,0,0,0,0,1,0,1,0,3,3,3,14,30,18,0,0,71,0
SSC50458,East Munglinup,East Munglinup,6450,785.9121,32,0,754,0,1666,0.2,1375,1.9,21,5,11,6,6,10,5,0,0,64,0
SSC50459,East Murchison,East Murchison,6640,7300.5979,44,0,649,0,0,0,0,0,0,0,0,3,3,3,0,0,0,9,0
SSC50460,East Nabawa,East Nabawa,6532,106.5538,37,0,1333,0,0,0,0,0,5,0,0,4,3,0,0,0,0,12,0
SSC50461,East Nannup,East Nannup,6275,104.9814,60,0,687,193,1625,0.5,900,1.5,8,0,0,0,3,10,8,3,0,32,0
SSC50462,East Newdegate,East Newdegate,6355,505.6833,37,0,1875,0,2250,0,2250,0,4,0,0,4,0,4,0,0,0,12,0
SSC50463,East Perth,East Perth,6004,3.2048,33,2167,992,435,2301,1,1868,1.9,664,1461,3872,1744,1384,1286,763,300,81,11555,8.6
SSC50464,East Pingelly,East Pingelly,6308,924.2275,44,1517,857,0,1781,0.7,1562,2.5,38,18,23,28,34,46,12,9,3,211,2.2
SSC50465,East Popanyinning,East Popanyinning,6309,104.9455,46,0,599,0,1624,0.3,1374,1.7,0,0,0,3,6,3,5,0,0,17,0
SSC50466,East Rockingham,East Rockingham,6168,8.7671,64,1092,456,175,783,1.1,603,1.4,13,11,12,16,23,70,75,42,9,271,20.6
SSC50467,East Victoria Park,East Victoria Park,6101,3.7286,33,2167,836,365,2107,0.8,1759,2.4,1588,1377,2325,1583,1232,878,511,227,123,9844,8.3
SSC50468,East Wickepin,East Wickepin,6370,136.1666,51,0,662,0,1187,0.7,1187,2.1,8,3,3,3,16,4,3,3,0,43,0
SSC50469,East Yuna,East Yuna,6532,498.5519,39,0,524,0,1416,0,1292,2.5,16,0,6,12,16,0,3,0,0,53,20
SSC50470,Eastbrook,Eastbrook,6260,59.2619,48,1000,811,75,1791,0.6,1449,2.1,31,10,4,19,22,22,23,3,3,137,0
SSC50471,Eaton,Eaton (WA),6232,6.5105,38,1692,627,330,1616,0.7,1384,2.5,1686,1051,1046,972,1024,915,703,526,236,8159,7.6
SSC50472,Eden Hill,Eden Hill,6054,2.271,39,1733,637,350,1651,0.8,1389,2.5,607,387,498,460,418,446,299,193,68,3376,8.1
SSC50473,Edgewater,Edgewater,6027,4.8644,40,1981,754,400,2090,0.7,1830,2.6,835,539,542,549,596,658,385,189,78,4371,6.2
SSC50474,Eganu,Eganu,6515,1389.1724,39,2459,1016,0,2750,0.6,2333,2.2,10,0,18,3,3,13,3,0,0,50,0
SSC50475,Eglinton,Eglinton (WA),6034,15.4898,27,2363,973,350,2143,0.7,1982,2.7,415,272,444,210,152,72,34,7,0,1606,4.6
SSC50476,Eighty Mile Beach,Eighty Mile Beach,6725,8930.7511,58,0,667,0,1041,1.3,900,1.6,25,27,39,19,38,160,239,51,3,601,0
SSC50477,Elabbin,Elabbin,6490,129.3021,37,0,1125,0,0,0.6,1125,2.1,4,6,0,0,6,5,0,0,0,21,0
SSC50478,Elachbutting,Elachbutting,6479,990.2587,40,0,575,0,1574,0,1574,0,5,0,3,4,4,0,4,0,0,20,0
SSC50479,Elgin,Elgin (WA),6237,60.2298,46,1950,739,250,1625,0.6,1374,2.3,19,11,13,11,15,31,18,0,0,118,0
SSC50480,Elleker,Elleker,6330,31.8961,46,1310,607,250,1658,0.8,1511,2.7,63,36,29,48,55,78,32,16,6,363,5.4
SSC50481,Ellenbrook,Ellenbrook,6069,17.8731,30,2080,760,370,1825,0.8,1694,3,6191,2950,3946,3519,2467,1378,961,570,226,22208,8.3
SSC50482,Ellendale,Ellendale (WA),6532,175.6424,47,0,1124,0,0,0,1624,1.4,3,0,0,0,7,3,3,0,0,16,0
SSC50483,Embleton,Embleton,6062,1.7095,37,2080,660,350,1778,0.8,1542,2.5,513,371,568,487,382,281,179,201,131,3113,8.7
SSC50484,Emu Flat,Emu Flat (WA),6431,4477.7471,51,0,1625,0,0,0,1875,1,0,10,27,19,16,20,5,0,0,97,0
SSC50485,Emu Point,Emu Point,6330,1.8968,68,1275,587,285,1274,0.8,1037,1.9,23,8,20,14,45,48,86,66,35,345,8.5
SSC50486,Eneabba,Eneabba,6518,1406.7204,47,650,428,80,780,0.7,774,2.3,26,7,20,28,33,24,46,3,0,187,12.5
SSC50487,Ennuin,Ennuin,6484,1181.9721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50488,Eradu,Eradu,6532,41.4671,45,0,1125,0,2250,0,2250,0,0,3,0,0,3,3,0,0,0,9,0
SSC50489,Eradu South,Eradu South,6532,72.8162,29,0,483,0,1249,0.5,1125,3,9,0,4,0,0,0,0,3,0,16,0
SSC50490,Erskine,Erskine (WA),6210,3.8673,59,1733,490,340,1148,0.7,888,2.1,532,395,305,346,423,577,967,653,185,4383,10
SSC50491,Esperance,Esperance,6450,2.508,50,1582,591,220,1466,0.7,929,1.9,283,226,262,231,299,333,264,223,147,2268,4.9
SSC50492,Etmilyn,Etmilyn,6213,35.8562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50493,Eucla,Eucla,6443,4984.5458,49,0,1125,0,2666,0.6,1874,1.6,0,5,20,14,26,55,52,6,0,178,0
SSC50494,Eurardy,Eurardy,6532,1495.9282,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0
SSC50495,Ewlyamartup,Ewlyamartup,6317,146.653,55,0,407,0,769,0.6,850,2.3,6,4,5,3,0,11,7,0,0,36,0
SSC50496,Exmouth,Exmouth,6707,67.7912,37,2167,833,315,2042,0.8,1740,2.5,563,258,486,449,467,609,627,198,32,3689,4
SSC50497,Exmouth Gulf,Exmouth Gulf,6707,4799.1982,43,0,774,0,1999,1,824,1.5,12,3,18,18,10,43,46,11,3,164,0
SSC50498,Fairbridge,Fairbridge,6208,112.9254,50,0,349,150,1437,0.7,900,1.7,9,3,9,8,15,10,8,0,0,62,0
SSC50499,Falcon,Falcon,6210,6.4445,46,1733,543,300,1309,0.7,1103,2.3,826,578,433,542,705,699,687,349,99,4918,11.6
SSC50500,Ferguson,Ferguson (WA),6236,41.4165,49,1679,730,115,2125,0.7,1833,2.5,46,26,10,21,44,44,37,6,3,237,0
SSC50501,Ferndale,Ferndale (WA),6148,3.1913,39,1820,695,330,1712,0.7,1392,2.4,700,449,693,517,473,537,443,229,162,4203,8.2
SSC50502,Fimiston,Fimiston,6432,4.0084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50503,Finucane,Finucane,6722,2.0849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50504,Fitzgerald,Fitzgerald (WA),6337,2.8731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50505,Fitzgerald River National Park,Fitzgerald River National Park,6346,2411.7714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50506,Fitzroy Crossing,Fitzroy Crossing,6765,28.1206,31,1900,387,76,846,1.1,1034,2.8,304,204,309,214,229,282,181,46,16,1785,9.7
SSC50507,Flint,Flint,6302,569.7189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50508,Floreat,Floreat,6014,4.5816,40,3000,1042,600,3585,0.8,3072,3,1921,1015,538,1016,1298,943,488,294,182,7695,5.1
SSC50509,Flynn,Flynn (WA),6302,426.465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50510,Forest Grove,Forest Grove (WA),6286,128.1964,48,1739,667,193,1550,0.8,1239,2.3,29,23,34,28,45,54,26,14,7,260,0
SSC50511,Forest Hill,Forest Hill (WA),6324,205.9844,40,1733,565,0,1312,0.5,1281,3.4,21,11,18,40,24,11,11,3,0,139,0
SSC50512,Forrest,Forrest (WA),6434,31646.1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50513,Forrest Beach,Forrest Beach (WA),6271,17.5129,43,1550,474,0,725,0.9,725,2.9,13,3,4,3,7,5,6,3,0,44,15
SSC50514,Forrestania,Forrestania,6359,3185.3447,40,0,2184,0,0,0,0,0,0,11,65,56,45,34,3,0,0,214,0
SSC50515,Forrestdale,Forrestdale,6112,31.4716,40,1950,671,360,1735,0.8,1506,2.8,204,139,119,134,175,128,99,33,13,1044,8
SSC50516,Forrestfield,Forrestfield,6058,17.0785,37,1858,711,360,1714,0.7,1459,2.6,2337,1607,1834,1712,1537,1547,1110,595,194,12473,7.7
SSC50517,Fortescue,Fortescue (WA),6716,9346.7195,38,0,269,35,466,0.8,537,2.1,9,9,9,9,8,9,5,0,0,58,25
SSC50518,Frankland River,Frankland River,6396,1391.3439,41,889,737,67,1451,0.7,1328,2.5,67,27,44,73,45,38,31,13,3,341,4.5
SSC50519,Fraser Range,Fraser Range,6443,20375.4367,41,0,1656,0,0,0,574,1,0,23,110,85,82,64,32,3,0,399,0
SSC50520,Fremantle,Fremantle,6160,5.5311,41,2167,817,360,2252,0.9,1548,2.1,884,835,1657,1251,1252,1184,852,469,233,8617,7.6
SSC50521,Furnissdale,Furnissdale,6209,6.9354,56,1326,452,253,1014,0.8,744,2,104,102,64,67,139,196,178,95,35,980,14.8
SSC50522,Gabalong,Gabalong,6574,76.0984,54,0,1312,0,0,0,0,2,0,0,0,0,3,0,0,0,0,3,0
SSC50523,Gabbadah,Gabbadah,6041,65.3491,50,1811,489,250,1330,0.7,1125,2.4,128,49,40,65,90,120,124,23,3,642,8.1
SSC50524,Gabbin,Gabbin,6476,806.4864,47,0,680,0,1562,0.7,1374,2,10,0,10,9,7,15,3,0,0,54,9.7
SSC50525,Gairdner,Gairdner,6337,974.5189,40,0,788,0,1562,0.7,1437,2.4,26,7,20,4,33,19,7,0,0,116,0
SSC50526,Gap Ridge,Gap Ridge,6714,55.7749,40,0,1375,254,2583,1.7,2333,1.6,16,17,81,77,71,67,51,9,0,389,10.3
SSC50527,Garden Island,Garden Island (WA),6168,12.4148,25,0,1348,0,0,0,0,0,0,522,670,264,123,18,0,0,0,1597,0
SSC50528,Gascoyne Junction,Gascoyne Junction,6705,21.0469,34,0,374,50,687,0.6,962,1.9,11,10,20,13,9,17,24,7,0,111,30
SSC50529,Gascoyne River,Gascoyne River,6705,26742.1352,21,0,387,25,630,1.2,900,3.8,67,35,38,16,21,17,7,0,0,201,18.2
SSC50530,Geegully Creek,Geegully Creek,6728,8954.1441,22,0,966,0,0,0,0,0,4,9,0,3,3,0,3,0,0,22,0
SSC50531,Gelorup,Gelorup,6230,24.7241,43,2038,694,400,2213,0.7,2033,3,475,340,113,257,412,344,189,58,23,2211,6.1
SSC50532,Geographe,Geographe,6280,5.7085,44,1733,613,335,1417,0.7,1201,2.5,647,354,285,376,445,466,405,200,55,3233,7.7
SSC50533,Georgina,Georgina (WA),6532,70.9903,41,1875,825,200,1875,1.1,1687,2.6,21,8,4,13,13,9,3,3,0,74,0
SSC50534,Geraldton,Geraldton,6530,4.475,44,1597,565,225,1467,0.7,1052,2.1,482,428,401,378,499,438,316,298,177,3417,10.1
SSC50535,Ghooli,Ghooli,6426,972.2033,34,0,474,0,0,1,0,0,0,0,4,0,0,0,3,0,0,7,0
SSC50536,Gibb,Gibb,6743,12971.8767,31,0,296,42,824,1.3,900,2.8,33,22,33,31,47,24,23,0,0,213,25
SSC50537,Gibson,Gibson,6448,734.2044,32,1538,451,150,1640,0.9,1410,2.8,80,117,52,45,67,50,38,15,4,468,6.3
SSC50538,Gibson Desert North,Gibson Desert North,NOT FOUND,114549.0599,29,0,243,28,665,1.6,924,4.6,76,41,46,46,27,30,13,3,0,282,47.8
SSC50539,Gibson Desert South,Gibson Desert South,NOT FOUND,94238.4072,36,0,0,55,0,0.6,0,1.3,13,9,12,8,8,3,6,0,0,59,0
SSC50540,Gidgegannup,Gidgegannup,6083,304.8874,44,2100,775,283,2170,0.8,2052,2.9,491,356,171,337,511,416,239,99,19,2639,5.4
SSC50541,Gilgering,Gilgering,6302,157.8341,54,0,784,0,1458,0.8,1375,2.5,13,0,8,10,11,16,11,12,0,81,0
SSC50542,Gillimanning,Gillimanning,6308,161.8391,58,0,1062,0,3249,0.5,2250,2,4,0,0,0,3,3,0,0,0,10,0
SSC50543,Gillingarra,Gillingarra,6510,220.9476,47,0,1025,0,2374,0.6,2062,2.2,9,0,9,7,7,8,4,3,0,47,0
SSC50544,Gilroyd,Gilroyd,6701,810.2093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50545,Gingerah,Gingerah,6725,26378.7769,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0
SSC50546,Gingin,Gingin,6503,9.4781,39,1733,679,290,1488,0.7,1260,2.6,200,52,102,104,92,103,86,55,12,806,4.9
SSC50547,Ginginup,Ginginup,6503,72.8602,37,0,880,0,1937,0.5,1812,1.5,5,0,4,10,0,9,10,0,0,38,0
SSC50548,Girrawheen,Girrawheen,6064,4.0937,34,1549,489,320,1208,0.9,1104,2.7,1887,1188,1393,1179,1063,886,706,306,68,8676,12.7
SSC50549,Gledhow,Gledhow,6330,6.5952,42,1754,624,290,1526,0.7,1325,2.7,192,125,89,112,134,121,104,42,18,937,5.5
SSC50550,Glen Forrest,Glen Forrest,6071,13.0333,44,2000,682,380,2064,0.8,1841,2.7,523,352,220,331,438,393,306,112,41,2716,7.6
SSC50551,Glen Iris,Glen Iris (WA),6230,4.7151,32,1733,696,330,1632,0.7,1520,2.8,712,405,474,362,394,310,164,66,20,2907,9.5
SSC50552,Glen Mervyn,Glen Mervyn,6239,37.775,54,1517,820,0,2166,0.7,1875,2.4,7,5,0,5,14,17,4,4,0,56,8.1
SSC50553,Glencoe,Glencoe (WA),6316,96.6507,33,0,875,0,2125,1,1875,2.5,5,3,3,3,7,6,0,0,0,27,0
SSC50554,Glendalough,Glendalough,6016,0.7233,32,1630,609,300,1407,1,1243,2.1,260,295,854,368,178,169,146,80,67,2417,9
SSC50555,Glenfield,Glenfield (WA),6532,8.163,34,2000,736,320,1803,0.7,1711,2.8,225,117,127,120,124,105,63,33,12,926,7.6
SSC50556,Glenlynn,Glenlynn,6256,43.2609,50,1733,793,150,2083,0.7,1792,2.5,15,11,6,17,19,22,7,3,3,103,0
SSC50557,Glenoran,Glenoran,6258,247.99,40,2059,591,150,1312,0.7,900,2.3,26,6,6,8,11,4,7,5,0,73,0
SSC50558,Glentromie,Glentromie,6509,181.1287,44,0,1053,75,1875,1,1625,2.6,8,3,9,8,4,7,0,3,0,42,0
SSC50559,Gnangara,Gnangara,6077,14.7978,49,2680,625,275,2078,0.7,1646,2.8,149,175,75,96,180,205,132,70,20,1102,6.7
